x	y	z
7.020241930791472	3.577250989306814	0.0
7.037742341721472	3.5484681639029616	0.0
7.05513730712071	3.5197074526116308	0.0
7.07242701293758	3.4909692131827024	0.0
7.08961225621067	3.4622527834386463	0.0
7.10669317611164	3.4335585912615794	0.0
7.123670146059466	3.404886671318715	0.0
7.14054331757212	3.3762374311415275	0.0
7.157313444497661	3.347610252180213	0.0
7.173980628589705	3.3190056205836935	0.0
7.190545206556296	3.290423620553821	0.0
7.207007490419198	3.2618643760707142	0.0
7.223367587855134	3.2333283651563414	0.0
7.239626198369624	3.2048150313295203	0.0
7.255783375913399	3.1763249429080287	0.0
7.271839410404982	3.147858254815611	0.0
7.287794565065462	3.119415167745325	0.0
7.303648902898657	3.0909962402262283	0.0
7.319403066944056	3.062600990219674	0.0
7.335057062311414	3.034230079475302	0.0
7.350611130509486	3.0058837456040255	0.0
7.366065484224074	2.9775622786524463	0.0
7.381420325759807	2.9492659883064225	0.0
7.396675846932927	2.920995204542375	0.0
7.411832228956594	2.8927502783078918	0.0
7.426889642318411	2.8645315822332234	0.0
7.4418480638753	2.8363398558453636	0.0
7.456708030380165	2.808174785691616	0.0
7.471469452256192	2.780037242468992	0.0
7.486132477434063	2.751927652126127	0.0
7.500697220636523	2.7238465075801517	0.0
7.515163784939475	2.6957943284485544	0.0
7.529532261582981	2.667771662029564	0.0
7.54380272977062	2.639779084330192	0.0
7.5579752564566975	2.611817201144461	0.0
7.572049896120504	2.5838866491849597	0.0
7.586026690527004	2.5559880972707423	0.0
7.599905668473159	2.5281222475749368	0.0
7.613686845519044	2.5002898369357527	0.0
7.627370223702866	2.4724916382346356	0.0
7.640955791239005	2.4447284618457044	0.0
7.654443522198	2.4170011571609704	0.0
7.667833376167382	2.389310614195998	0.0
7.681125465475992	2.361657416635764	0.0
7.694319355279494	2.334043299309668	0.0
7.707415184300993	2.3064688161799856	0.0
7.720412822315896	2.27893509634536	0.0
7.733312150652894	2.2514432602215897	0.0
7.746113033649067	2.223994480486368	0.0
7.75881531813856	2.1965899844150103	0.0
7.771418993913024	2.1692307068544756	0.0
7.783923516950836	2.141918761109541	0.0
7.796328902239117	2.1146550664570047	0.0
7.808634889936932	2.0874411622104994	0.0
7.820841230515209	2.0602785887026758	0.0
7.83294780903475	2.033168608938018	0.0
7.8449539863591955	2.0061136860305573	0.0
7.856859669877446	1.9791150855045792	0.0
7.868664640013307	1.9521743816411172	0.0
7.880368190291796	1.9252942919991012	0.0
7.891970153770779	1.89847633411744	0.0
7.903470228966845	1.8717223625515957	0.0
7.914867633578628	1.8450353883443464	0.0
7.926162116278108	1.8184172245166927	0.0
7.937353282946426	1.7918700528120335	0.0
7.948440264998828	1.7653972252483097	0.0
7.983466010597554	1.6812128305986642	0.0
8.01849175619628	1.5970284359490203	0.0
8.053517501795007	1.5128440412993747	0.0
8.088543247393734	1.428659646649729	0.0
8.123568992992459	1.3444752520000853	0.0
8.158594738591187	1.2602908573504397	0.0
8.193620484189912	1.176106462700794	0.0
8.22864622978864	1.0919220680511483	0.0
8.263671975387364	1.0077376734015047	0.0
8.298697720986091	0.923553278751859	0.0
8.333723466584818	0.8393688841022133	0.0
8.368749212183543	0.7551844894525696	0.0
8.40377495778227	0.6710000948029239	0.0
8.438800703380995	0.5868157001532783	0.0
8.473826448979723	0.5026313055036327	0.0
8.508852194578449	0.4184469108539889	0.0
8.543877940177175	0.3342625162043433	0.0
8.578903685775902	0.25007812155469766	0.0
8.613929431374627	0.1658937269050538	0.0
8.648955176973354	0.0817093322554082	0.0
8.683980922572081	-0.002475062394237393	0.0
8.719006668170806	-0.08665945704388299	0.0
8.754032413769533	-0.17084385169352684	0.0
8.789058159368258	-0.25502824634317245	0.0
8.824083904966985	-0.33921264099281806	0.0
8.859109650565713	-0.42339703564246367	0.0
8.894135396164437	-0.5075814302921076	0.0
8.929161141763165	-0.5917658249417531	0.0
8.96418688736189	-0.6759502195913987	0.0
8.999212632960617	-0.7601346142410426	0.0
9.034238378559344	-0.8443190088906881	0.0
9.06926412415807	-0.9285034035403338	0.0
9.104289869756796	-1.0126877981899793	0.0
9.139315615355523	-1.0968721928396232	0.0
9.174341360954248	-1.181056587489269	0.0
9.209367106552975	-1.2652409821389143	0.0
9.244392852151702	-1.3494253767885582	0.0
9.279418597750427	-1.433609771438204	0.0
9.314444343349155	-1.5177941660878496	0.0
9.349470088947879	-1.601978560737495	0.0
9.384495834546607	-1.686162955387139	0.0
9.419521580145332	-1.7703473500367846	0.0
9.454547325744057	-1.85453174468643	0.0
9.489573071342786	-1.938716139336074	0.0
9.524598816941511	-2.0229005339857196	0.0
9.559624562540238	-2.107084928635365	0.0
9.594650308138963	-2.191269323285011	0.0
9.62967605373769	-2.2754537179346546	0.0
9.664701799336417	-2.3596381125843005	0.0
9.699727544935143	-2.443822507233946	0.0
9.734753290533869	-2.5280069018835913	0.0
9.769779036132594	-2.6121912965332355	0.0
9.804804781731322	-2.696375691182881	0.0
9.839830527330049	-2.7805600858325263	0.0
9.874856272928774	-2.8647444804821705	0.0
9.909882018527501	-2.948928875131816	0.0
9.944907764126228	-3.0331132697814613	0.0
9.979933509724953	-3.1172976644311072	0.0
10.01495925532368	-3.201482059080751	0.0
10.049985000922405	-3.285666453730397	0.0
10.085010746521133	-3.3698508483800422	0.0
10.120036492119858	-3.454035243029686	0.0
10.155062237718585	-3.538219637679332	0.0
10.190087983317312	-3.6224040323289772	0.0
10.225113728916035	-3.7065884269786227	0.0
10.260139474514764	-3.790772821628267	0.0
10.295165220113491	-3.8749572162779122	0.0
10.330190965712216	-3.959141610927558	0.0
10.365216711310943	-4.043326005577201	0.0
10.400242456909668	-4.127510400226847	0.0
10.435268202508395	-4.211694794876493	0.0
10.470293948107123	-4.295879189526138	0.0
10.505319693705847	-4.380063584175782	0.0
10.540345439304573	-4.464247978825428	0.0
10.5753711849033	-4.548432373475074	0.0
10.610396930502027	-4.632616768124717	0.0
10.645422676100754	-4.716801162774363	0.0
10.680448421699477	-4.800985557424009	0.0
10.715474167298206	-4.885169952073654	0.0
10.750499912896931	-4.969354346723298	0.0
10.785525658495658	-5.053538741372944	0.0
10.820551404094385	-5.137723136022589	0.0
10.85557714969311	-5.221907530672233	0.0
10.890602895291837	-5.306091925321879	0.0
10.925628640890565	-5.390276319971524	0.0
10.960654386489288	-5.47446071462117	0.0
10.995680132088015	-5.558645109270814	0.0
11.030705877686742	-5.642829503920459	0.0
11.065731623285469	-5.727013898570105	0.0
11.100757368884196	-5.811198293219749	0.0
11.135783114482921	-5.895382687869395	0.0
11.170808860081646	-5.97956708251904	0.0
11.205834605680373	-6.063751477168686	0.0
11.2408603512791	-6.14793587181833	0.0
11.275886096877827	-6.232120266467975	0.0
11.310911842476552	-6.316304661117621	0.0
11.345937588075278	-6.400489055767265	0.0
11.380963333674005	-6.48467345041691	0.0
11.415989079272732	-6.568857845066556	0.0
11.416564220292658	-6.581571256781906	0.0
11.417139361312586	-6.594284668497257	0.0
11.417714502332512	-6.606998080212607	0.0
11.41828964335244	-6.619711491927957	0.0
11.418864784372367	-6.632424903643307	0.0
11.419439925392293	-6.645138315358658	0.0
11.420015066412219	-6.657851727074008	0.0
11.420590207432147	-6.670565138789358	0.0
11.421165348452073	-6.683278550504709	0.0
11.421740489472	-6.695991962220058	0.0
11.422315630491928	-6.708705373935409	0.0
11.422890771511854	-6.721418785650759	0.0
11.423465912531782	-6.73413219736611	0.0
11.424041053551708	-6.7468456090814595	0.0
11.424616194571636	-6.759559020796811	0.0
11.425191335591563	-6.77227243251216	0.0
11.425766476611491	-6.784985844227511	0.0
11.426341617631415	-6.7976992559428595	0.0
11.426916758651341	-6.810412667658212	0.0
11.427491899671269	-6.82312607937356	0.0
11.428067040691197	-6.835839491088913	0.0
11.428642181711124	-6.848552902804261	0.0
11.42921732273105	-6.861266314519613	0.0
11.429792463750978	-6.873979726234961	0.0
11.430367604770904	-6.886693137950313	0.0
11.430942745790833	-6.899406549665662	0.0
11.43151788681076	-6.912119961381014	0.0
11.432093027830685	-6.924833373096363	0.0
11.432668168850613	-6.937546784811714	0.0
11.433243309870537	-6.950260196527063	0.0
11.433818450890467	-6.9629736082424145	0.0
11.434393591910393	-6.975687019957764	0.0
11.43496873293032	-6.988400431673115	0.0
11.435543873950246	-7.001113843388465	0.0
11.436119014970174	-7.013827255103816	0.0
11.436694155990102	-7.026540666819165	0.0
11.437269297010028	-7.0392540785345155	0.0
11.437844438029956	-7.051967490249866	0.0
11.438419579049881	-7.064680901965216	0.0
11.43899472006981	-7.077394313680567	0.0
11.439569861089737	-7.090107725395917	0.0
11.440145002109663	-7.102821137111267	0.0
11.440720143129589	-7.115534548826617	0.0
11.441295284149517	-7.128247960541968	0.0
11.441870425169443	-7.140961372257318	0.0
11.44244556618937	-7.153674783972669	0.0
11.443020707209298	-7.166388195688019	0.0
11.443595848229224	-7.17910160740337	0.0
11.444170989249152	-7.191815019118719	0.0
11.444746130269078	-7.20452843083407	0.0
11.445321271289005	-7.21724184254942	0.0
11.445896412308933	-7.22995525426477	0.0
11.446471553328859	-7.242668665980121	0.0
11.447046694348785	-7.2553820776954705	0.0
11.447621835368711	-7.268095489410821	0.0
11.448196976388639	-7.2808089011261705	0.0
11.448772117408566	-7.293522312841522	0.0
11.449347258428494	-7.306235724556871	0.0
11.44992239944842	-7.318949136272223	0.0
11.450497540468348	-7.331662547987572	0.0
11.451072681488274	-7.344375959702924	0.0
11.451647822508201	-7.357089371418272	0.0
11.45222296352813	-7.369802783133624	0.0
11.452798104548055	-7.382516194848972	0.0
11.453373245567981	-7.395229606564325	0.0
11.453948386587907	-7.407943018279673	0.0
11.454523527607835	-7.4206564299950255	0.0
11.455098668627762	-7.433369841710373	0.0
11.45567380964769	-7.4460832534257255	0.0
11.456248950667616	-7.458796665141074	0.0
11.456824091687544	-7.4715100768564255	0.0
11.457399232707472	-7.484223488571775	0.0
11.457974373727398	-7.4969369002871264	0.0
11.458549514747325	-7.509650312002476	0.0
11.459124655767251	-7.5223637237178265	0.0
11.459699796787179	-7.535077135433176	0.0
11.460274937807105	-7.547790547148527	0.0
11.460850078827033	-7.560503958863879	0.0
11.461425219846959	-7.573217370579228	0.0
11.462000360866886	-7.585930782294578	0.0
11.462575501886812	-7.598644194009928	0.0
11.46315064290674	-7.61135760572528	0.0
11.463725783926668	-7.624071017440628	0.0
11.464300924946594	-7.636784429155979	0.0
11.464876065966521	-7.649497840871329	0.0
11.465451206986447	-7.6622112525866815	0.0
11.466026348006375	-7.674924664302029	0.0
11.466601489026303	-7.68763807601738	0.0
11.467176630046229	-7.70035148773273	0.0
11.467751771066155	-7.7130648994480815	0.0
11.46832691208608	-7.725778311163431	0.0
11.468902053106008	-7.7384917228787815	0.0
11.469477194125936	-7.751205134594132	0.0
11.470052335145864	-7.763918546309482	0.0
11.47062747616579	-7.776631958024832	0.0
11.471202617185718	-7.789345369740182	0.0
11.471777758205643	-7.802058781455533	0.0
11.472352899225571	-7.814772193170883	0.0
11.472928040245499	-7.827485604886234	0.0
11.321755427560147	-7.477531469750298	0.0
11.168252175972103	-7.134954164107159	0.0
11.012522007150132	-6.7996068018509295	0.0
10.854701917755413	-6.471424374411301	0.0
10.69498850398505	-6.150465711679178	0.0
